1,89 Florence Circle,Riverside,92519,CA,US
2,27244 Maple Wood Place,Fargo,58106,ND,US
3,3765 Dahle Court,Detroit,48224,MI,US
4,0 Claremont Circle,Littleton,80127,CO,US
5,9 Bayside Alley,Wilmington,19810,DE,US
6,4 Tony Lane,Vienna,22184,VA,US
7,24353 Warrior Road,Pensacola,32511,FL,US
8,23598 Meadow Vale Circle,Austin,78754,TX,US
9,8 Anhalt Circle,Madison,53726,WI,US
10,750 Anthes Drive,Madison,53790,WI,US
11,5 Mallard Circle,Anchorage,99599,AK,US
12,81591 Arrowood Drive,Cincinnati,45213,OH,US
13,953 Sachtjen Park,Grand Rapids,49518,MI,US
14,77784 Buell Alley,Huntington,25716,WV,US
15,37 Dottie Court,Miami,33261,FL,US